
RETE REPORT      ID BREVE           DESCRIZIONE                                        UNITA  VALEN  KIND     
  11 LOCALI     433 FFVMAX          Intensita' vento                                   MSEC   P60    RILE     
  11 LOCALI     434 FFVMIN          Intensita' vento                                   MSEC   P60    RILE     
  11 LOCALI     435 FFSAVG          Intensita' vento                                   MSEC   P60    RILE     
  11 LOCALI     436 FFSDEV          Intensita' vento                                   MSEC   P60    RILE     
  11 LOCALI     437 FFSMAX          Intensita' vento                                   MSEC   P60    RILE     
  11 LOCALI     438 FFSMIN          Intensita' vento                                   MSEC   P60    RILE     
  11 LOCALI     439 FFSA10          Intensita' vento                                   MSEC   P60    RILE     
  11 LOCALI     440 DDVAVG          Direzione vento                                    GSES   P60    RILE     
  11 LOCALI     441 DDVDEV          Direzione vento                                    GSES   P60    RILE     
  11 LOCALI     442 DDSA10          Direzione vento                                    GSES   P60    RILE     
  11 LOCALI     444 PAV             Pressione aria a livello mare                      HPA    P60    RILE     
  11 LOCALI     445 PDEV            Pressione aria a livello mare                      HPA    P60    RILE     
  11 LOCALI     446 PMN             Pressione aria a livello mare                      HPA    P60    RILE     
  11 LOCALI     447 PMX             Pressione aria a livello mare                      HPA    P60    RILE     
  11 LOCALI     448 EXDC            tensione di alimenta                               VOLT   P60    RILE     
  11 LOCALI     449 ERROR           errori                                             NUM    P60    RILE     
  11 LOCALI     450 ALARM           allarmi                                            NUM    P60    RILE     
  11 LOCALI     451 TINT            temperatura interna                                GC     P60    RILE     
  11 LOCALI     452 SSTT            stato del barometro                                STR    P60    RILE     
  11 LOCALI     453 SSUR            stato del barometro                                STR    P60    RILE     
  11 LOCALI     454 SSRAVU          stato del barometro                                STR    P60    RILE     
  11 LOCALI     458 SSPR            stato del barometro                                STR    P60    RILE     
  11 LOCALI     459 SSWIND          stato del barometro                                STR    P60    RILE     
  11 LOCALI     460 SSP             stato del barometro                                STR    P60    RILE     
  11 LOCALI     461 SSLW            stato del barometro                                STR    P60    RILE     
  11 LOCALI     518 SSSAV           strato nevoso                                      M      P60    RILE     
  11 LOCALI     519 SSSDEV          strato nevoso                                      M      P60    RILE     
  11 LOCALI     520 SSSMN           strato nevoso                                      M      P60    RILE     
  11 LOCALI     521 SSSMX           strato nevoso                                      M      P60    RILE     
  11 LOCALI     550 LISTT5          Temperatura aria                                   GC     P5     RILE     
  11 LOCALI     551 LMEDT5          Temperatura media aria                             GC     P60    RILE     
  11 LOCALI     552 LVMNT5          Temperatura minima aria                            GC     P60    RILE     
  11 LOCALI     553 LVMXT5          Temperatura massima aria                           GC     P60    RILE     
  11 LOCALI     554 LHMNT5          Ora del minimo                                     HHMN   P60    RILE     
  11 LOCALI     555 LHMXT5          Ora del massimo                                    HHMN   P60    RILE     
  11 LOCALI     562 TDEV-15         deviazione standard                                GC     P60    RILE     
  11 LOCALI     563 TDEV50          deviazione standard                                GC     P60    RILE     
  11 LOCALI     564 SSTTSS          stato del barometro                                STR    P60    RILE     
  11 LOCALI     565 SSTT50          stato del barometro                                STR    P60    RILE     
  12 FIDUTO     139 UM180           Umidita' percentuale                               PERC   P5     RILE     
  12 FIDUTO     158 TATA            Temperatura aria                                   GC     P5     RILE     
  12 FIDUTO     159 PRECI           Precipitazione cumulata nel periodo                MM     P30    RILE     
  12 FIDUTO     161 IDRO            Livello idrometrico                                M      P5     RILE     
  12 FIDUTO     164 RADDIR          Radiazione diretta                                 RADWM  P30    RILE     
  12 FIDUTO     165 DD              Direzione vento                                    GSES   P5     RILE     
  12 FIDUTO     166 FF              Intensita' vento                                   MSEC   P5     RILE     
  12 FIDUTO     167 P0P0            Pressione aria a livello stazione istantanea       HPA    P5     RILE     
  12 FIDUTO     169 TW              Temperatura istantanea dell' acqua                 GC     P5     RILE     
  12 FIDUTO     351 FFRAFF          Intensita' vento                                   KMHH   P5     RILE     
  12 FIDUTO     353 DDRAFF          Direzione vento                                    GSES   P5     RILE     
  12 FIDUTO     357 RADRIFL         Radiazione solare                                  RADCC  P60    RILE     
  12 FIDUTO     512 POR                                                                MCS    P60    RILE     
  13 AGRMET      77 LISTT1          Temperatura aria                                   GC     P5     RILE     
  13 AGRMET      78 LMEDT1          Temperatura media aria                             GC     P60    RILE     
  13 AGRMET      79 LVMNT1          Temperatura minima aria                            GC     P60    RILE     
  13 AGRMET      80 LVMXT1          Temperatura massima aria                           GC     P60    RILE     
  13 AGRMET      81 LHMNT1          Ora del minimo                                     HHMN   P60    RILE     
  13 AGRMET      82 LHMXT1          Ora del massimo                                    HHMN   P60    RILE     
  13 AGRMET      99 LHMNUM          Ora del minimo                                     HHMN   P60    RILE     
  13 AGRMET     100 LHMXUM          Ora del massimo                                    HHMN   P60    RILE     
  13 AGRMET     108 LINTRS          Radiazione solare                                  RADCC  P60    RILE     
  13 AGRMET     114 LPRECI          Precipitazione cumulata nel periodo                MM     P60    RILE     
  13 AGRMET     115 LISTT3          Temperatura aria                                   GC     P5     RILE     
  13 AGRMET     116 LMEDT3          Temperatura media aria                             GC     P60    RILE     
  13 AGRMET     117 LVMNT3          Temperatura minima aria                            GC     P60    RILE     
  13 AGRMET     118 LVMXT3          Temperatura massima aria                           GC     P60    RILE     
  13 AGRMET     135 T180            Temperatura aria                                   GC     P5     RILE     
  13 AGRMET     136 T180ME          Temperatura media aria                             GC     P60    RILE     
  13 AGRMET     137 T180MN          Temperatura minima aria                            GC     P60    RILE     
  13 AGRMET     138 T180MX          Temperatura massima aria                           GC     P60    RILE     
  13 AGRMET     139 UM180           Umidita' percentuale                               PERC   P5     RILE     
  13 AGRMET     140 UM180ME         Umidita' percentuale media                         PERC   P60    RILE     
  13 AGRMET     141 UM180MN         Umidita' percentuale minima                        PERC   P60    RILE     
  13 AGRMET     142 UM180MX         Umidita' percentuale massima                       PERC   P60    RILE     
  13 AGRMET     143 PREC            Precipitazione cumulata nel periodo                MM     P60    RILE     
  13 AGRMET     144 BAGNA           Bagnatura fogliare                                 MN     P60    RILE     
  13 AGRMET     147 V60             Intensita' vento                                   MSEC   P60    RILE     
  13 AGRMET     167 P0P0            Pressione aria a livello stazione istantanea       HPA    P5     RILE     
  13 AGRMET     403 TDEV            deviazione standard                                GC     P60    RILE     
  13 AGRMET     404 TMIN_M          Temperatura aria                                   GC     P60    RILE     
  13 AGRMET     405 TMAX_M          Temperatura aria                                   GC     P60    RILE     
  13 AGRMET     406 UML1H_DEV       Umidita' percentuale                               PERC   P60    RILE     
  13 AGRMET     409 RAVUAV          radiazione visibile                                RADWM  P60    RILE     
  13 AGRMET     410 RAVUMN          radiazione visibile                                RADWM  P60    RILE     
  13 AGRMET     411 RAVUMX          radiazione visibile                                RADWM  P60    RILE     
  13 AGRMET     412 RAVUIT          radiazione visibile                                MJ     P60    RILE     
  13 AGRMET     413 RAVUMJ          radiazione visibile                                MJ     P60    RILE     
  13 AGRMET     427 PREC15          Precipitazione cumulata nel periodo                MM     P60    RILE     
  13 AGRMET     431 FFVAVG          Intensita' vento                                   MSEC   P60    RILE     
  13 AGRMET     432 FFVDEV          Intensita' vento                                   MSEC   P60    RILE     
  13 AGRMET     433 FFVMAX          Intensita' vento                                   MSEC   P60    RILE     
  13 AGRMET     434 FFVMIN          Intensita' vento                                   MSEC   P60    RILE     
  13 AGRMET     435 FFSAVG          Intensita' vento                                   MSEC   P60    RILE     
  13 AGRMET     436 FFSDEV          Intensita' vento                                   MSEC   P60    RILE     
  13 AGRMET     437 FFSMAX          Intensita' vento                                   MSEC   P60    RILE     
  13 AGRMET     438 FFSMIN          Intensita' vento                                   MSEC   P60    RILE     
  13 AGRMET     439 FFSA10          Intensita' vento                                   MSEC   P60    RILE     
  13 AGRMET     440 DDVAVG          Direzione vento                                    GSES   P60    RILE     
  13 AGRMET     441 DDVDEV          Direzione vento                                    GSES   P60    RILE     
  13 AGRMET     442 DDSA10          Direzione vento                                    GSES   P60    RILE     
  13 AGRMET     444 PAV             Pressione aria a livello mare                      HPA    P60    RILE     
  13 AGRMET     445 PDEV            Pressione aria a livello mare                      HPA    P60    RILE     
  13 AGRMET     446 PMN             Pressione aria a livello mare                      HPA    P60    RILE     
  13 AGRMET     447 PMX             Pressione aria a livello mare                      HPA    P60    RILE     
  13 AGRMET     448 EXDC            tensione di alimenta                               VOLT   P60    RILE     
  13 AGRMET     449 ERROR           errori                                             NUM    P60    RILE     
  13 AGRMET     450 ALARM           allarmi                                            NUM    P60    RILE     
  13 AGRMET     451 TINT            temperatura interna                                GC     P60    RILE     
  13 AGRMET     452 SSTT            stato del barometro                                STR    P60    RILE     
  13 AGRMET     453 SSUR            stato del barometro                                STR    P60    RILE     
  13 AGRMET     454 SSRAVU          stato del barometro                                STR    P60    RILE     
  13 AGRMET     458 SSPR            stato del barometro                                STR    P60    RILE     
  13 AGRMET     459 SSWIND          stato del barometro                                STR    P60    RILE     
  13 AGRMET     460 SSP             stato del barometro                                STR    P60    RILE     
  13 AGRMET     461 SSLW            stato del barometro                                STR    P60    RILE     
  13 AGRMET     536 TDEVLV2         deviazione standard                                GC     P5     RILE     
  13 AGRMET     537 SSTLV2          stato del barometro                                STR    P5     RILE     
  14 POLLINI    360 POLS1           Graminacee                                         NUM    P1440  RILE     
  14 POLLINI    361 POLS2           Betulacee                                          NUM    P1440  RILE     
  14 POLLINI    362 POLS3           Betulacee                                          NUM    P1440  RILE     
  14 POLLINI    363 POLS4           Betulacee                                          NUM    P1440  RILE     
  14 POLLINI    364 POLS5           Composite                                          NUM    P1440  RILE     
  14 POLLINI    365 POLS6           Composite                                          NUM    P1440  RILE     
  14 POLLINI    366 POLS7           Composite                                          NUM    P1440  RILE     
  14 POLLINI    367 POLS8           Corilacee                                          NUM    P1440  RILE     
  14 POLLINI    368 POLS9           Corilacee                                          NUM    P1440  RILE     
  14 POLLINI    369 POLS10          Corilacee                                          NUM    P1440  RILE     
  14 POLLINI    370 POLS11          Fagacee                                            NUM    P1440  RILE     
  14 POLLINI    371 POLS12          Fagacee                                            NUM    P1440  RILE     
  14 POLLINI    372 POLS13          Fagacee                                            NUM    P1440  RILE     
  14 POLLINI    373 POLS14          Fagacee                                            NUM    P1440  RILE     
  14 POLLINI    374 POLS15          Oleacee                                            NUM    P1440  RILE     
  14 POLLINI    375 POLS16          Oleacee                                            NUM    P1440  RILE     
  14 POLLINI    376 POLS17          Oleacee                                            NUM    P1440  RILE     
  14 POLLINI    377 POLS18          Plantaginacee                                      NUM    P1440  RILE     
  14 POLLINI    378 POLS19          Urticacee                                          NUM    P1440  RILE     
  14 POLLINI    379 POLS20          Cupressacee - Taxacee indistinte                   NUM    P1440  RILE     
  14 POLLINI    380 POLS21          Cupressacee - Taxacee indistinte                   NUM    P1440  RILE     
  14 POLLINI    381 POLS22          Chenopodiacee - Amarantacee Indistinte             NUM    P1440  RILE     
